2019-06-25 18:18:27.1446 | INFO | Info | Программа запущена
2019-06-25 18:18:49.3094 | INFO | Info | Закрытие программы
2019-06-25 23:49:36.3854 | INFO | Info | Программа запущена
2019-06-25 23:49:38.5308 | INFO | Info | Удалена запись № 0
2019-06-25 23:49:38.9540 | INFO | Info | Удалена запись № 0
2019-06-25 23:49:40.7271 | INFO | Info | Удалена запись № -1
2019-06-25 23:49:45.9876 | INFO | Info | Удалена запись № 0
2019-06-25 23:49:49.1487 | INFO | Info | Закрытие программы
2019-06-25 23:49:51.8741 | INFO | Info | Программа запущена
2019-06-25 23:49:53.2446 | INFO | Info | Закрытие программы
2019-06-25 23:53:15.9028 | INFO | Info | Программа запущена
2019-06-25 23:53:18.4814 | INFO | Info | Закрытие программы
2019-06-25 23:56:22.6549 | INFO | Info | Программа запущена
2019-06-25 23:56:35.2819 | INFO | Info | Удалена запись № 0
2019-06-25 23:56:35.9232 | INFO | Info | Удалена запись № 0
2019-06-25 23:56:37.2681 | INFO | Info | Удалена запись № 0
2019-06-25 23:58:23.3869 | INFO | Info | Программа запущена
2019-06-25 23:58:24.5252 | INFO | Info | Удалена запись № 0
2019-06-25 23:58:55.0793 | INFO | Info | Программа запущена
2019-06-25 23:59:04.1469 | INFO | Info | Закрытие программы
2019-06-25 23:59:33.7260 | INFO | Info | Программа запущена
2019-06-25 23:59:35.8784 | INFO | Info | Закрытие программы
2019-06-25 23:59:42.2218 | INFO | Info | Программа запущена
2019-06-25 23:59:44.2681 | INFO | Info | Закрытие программы
